TRAIN_NO,DATE,STATION_DEPART,STATION_ARRV,NUM_PASSENGER
5,20190726,오송,대전,18.0
5,20190727,오송,대전,6.0
5,20190728,오송,대전,5.0
5,20190729,오송,대전,5.0
5,20190730,오송,대전,12.0
5,20190701,오송,동대구,7.0
5,20190702,오송,동대구,23.0
5,20190703,오송,동대구,12.0
5,20190704,오송,동대구,22.0
5,20190705,오송,동대구,17.0
5,20190706,오송,동대구,23.0
5,20190707,오송,동대구,20.0
5,20190708,오송,동대구,15.0
5,20190709,오송,동대구,30.0
5,20190710,오송,동대구,10.0
5,20190711,오송,동대구,13.0
5,20190712,오송,동대구,26.0
5,20190713,오송,동대구,15.0
5,20190714,오송,동대구,20.0
5,20190715,오송,동대구,17.0
5,20190716,오송,동대구,40.0
5,20190717,오송,동대구,21.0
5,20190718,오송,동대구,24.0
5,20190719,오송,동대구,24.0
5,20190720,오송,동대구,16.0
5,20190721,오송,동대구,12.0
5,20190722,오송,동대구,18.0
5,20190723,오송,동대구,9.0
5,20190724,오송,동대구,36.0
5,20190725,오송,동대구,22.0
5,20190726,오송,동대구,37.0
5,20190727,오송,동대구,22.0
5,20190728,오송,동대구,16.0
5,20190729,오송,동대구,15.0
5,20190730,오송,동대구,23.0
5,20190701,오송,부산,33.0
5,20190702,오송,부산,31.0
5,20190703,오송,부산,29.0
5,20190704,오송,부산,53.0
5,20190705,오송,부산,48.0
5,20190706,오송,부산,33.0
5,20190707,오송,부산,25.0
5,20190708,오송,부산,28.0
5,20190709,오송,부산,49.0
5,20190710,오송,부산,44.0
5,20190711,오송,부산,37.0
5,20190712,오송,부산,77.0
5,20190713,오송,부산,18.0
5,20190714,오송,부산,18.0
5,20190715,오송,부산,20.0
5,20190716,오송,부산,28.0
5,20190717,오송,부산,40.0
5,20190718,오송,부산,47.0
5,20190719,오송,부산,50.0
5,20190720,오송,부산,20.0
5,20190721,오송,부산,30.0
5,20190722,오송,부산,21.0
5,20190723,오송,부산,28.0
5,20190724,오송,부산,43.0
5,20190725,오송,부산,59.0
5,20190726,오송,부산,82.0
5,20190727,오송,부산,31.0
5,20190728,오송,부산,36.0
5,20190729,오송,부산,25.0
5,20190730,오송,부산,63.0
5,20190701,오송,울산,16.0
5,20190702,오송,울산,19.0
5,20190703,오송,울산,18.0
5,20190704,오송,울산,23.0
5,20190705,오송,울산,33.0
5,20190706,오송,울산,19.0
5,20190707,오송,울산,28.0
5,20190708,오송,울산,23.0
5,20190709,오송,울산,14.0
5,20190710,오송,울산,22.0
5,20190711,오송,울산,13.0
5,20190712,오송,울산,36.0
5,20190713,오송,울산,18.0
5,20190714,오송,울산,19.0
5,20190715,오송,울산,18.0
5,20190716,오송,울산,28.0
5,20190717,오송,울산,38.0
5,20190718,오송,울산,27.0
5,20190719,오송,울산,25.0
5,20190720,오송,울산,5.0
5,20190721,오송,울산,14.0
5,20190722,오송,울산,21.0
5,20190723,오송,울산,22.0
5,20190724,오송,울산,29.0
5,20190725,오송,울산,30.0
5,20190726,오송,울산,21.0
5,20190727,오송,울산,11.0
5,20190728,오송,울산,23.0
5,20190729,오송,울산,15.0
5,20190730,오송,울산,28.0
5,20190701,광명,대전,7.0
5,20190702,광명,대전,17.0
5,20190703,광명,대전,15.0
5,20190704,광명,대전,27.0
5,20190705,광명,대전,14.0
5,20190706,광명,대전,28.0
5,20190707,광명,대전,26.0
5,20190708,광명,대전,20.0
5,20190709,광명,대전,11.0
5,20190710,광명,대전,21.0
5,20190711,광명,대전,18.0
5,20190712,광명,대전,12.0
5,20190713,광명,대전,39.0
5,20190714,광명,대전,17.0
5,20190715,광명,대전,26.0
5,20190716,광명,대전,17.0
5,20190717,광명,대전,17.0
5,20190718,광명,대전,17.0
5,20190719,광명,대전,21.0
5,20190720,광명,대전,20.0
5,20190721,광명,대전,38.0
5,20190722,광명,대전,17.0
5,20190723,광명,대전,16.0
5,20190724,광명,대전,31.0
5,20190725,광명,대전,34.0
5,20190726,광명,대전,18.0
5,20190727,광명,대전,21.0
5,20190728,광명,대전,41.0
5,20190729,광명,대전,26.0
5,20190730,광명,대전,23.0
5,20190701,광명,동대구,45.0
5,20190702,광명,동대구,32.0
5,20190703,광명,동대구,32.0
5,20190704,광명,동대구,44.0
5,20190705,광명,동대구,43.0
5,20190706,광명,동대구,48.0
5,20190707,광명,동대구,52.0
5,20190708,광명,동대구,34.0
5,20190709,광명,동대구,52.0
5,20190710,광명,동대구,57.0
5,20190711,광명,동대구,47.0
5,20190712,광명,동대구,40.0
5,20190713,광명,동대구,52.0
5,20190714,광명,동대구,40.0
5,20190715,광명,동대구,36.0
5,20190716,광명,동대구,22.0
5,20190717,광명,동대구,29.0
5,20190718,광명,동대구,36.0
5,20190719,광명,동대구,46.0
5,20190720,광명,동대구,42.0
5,20190721,광명,동대구,46.0
5,20190722,광명,동대구,35.0
5,20190723,광명,동대구,41.0
5,20190724,광명,동대구,36.0
5,20190725,광명,동대구,34.0
5,20190726,광명,동대구,32.0
5,20190727,광명,동대구,39.0
5,20190728,광명,동대구,57.0
5,20190729,광명,동대구,45.0
5,20190730,광명,동대구,57.0
5,20190701,광명,부산,47.0
5,20190702,광명,부산,61.0
5,20190703,광명,부산,38.0
5,20190704,광명,부산,39.0
5,20190705,광명,부산,59.0
5,20190706,광명,부산,65.0
5,20190707,광명,부산,48.0
5,20190708,광명,부산,45.0
5,20190709,광명,부산,35.0
5,20190710,광명,부산,43.0
5,20190711,광명,부산,42.0
5,20190712,광명,부산,69.0
5,20190713,광명,부산,68.0
5,20190714,광명,부산,55.0
5,20190715,광명,부산,47.0
5,20190716,광명,부산,44.0
5,20190717,광명,부산,53.0
5,20190718,광명,부산,57.0
5,20190719,광명,부산,55.0
5,20190720,광명,부산,79.0
5,20190721,광명,부산,73.0
5,20190722,광명,부산,43.0
5,20190723,광명,부산,83.0
5,20190724,광명,부산,75.0
5,20190725,광명,부산,43.0
5,20190726,광명,부산,64.0
5,20190727,광명,부산,41.0
5,20190728,광명,부산,69.0
5,20190729,광명,부산,58.0
5,20190730,광명,부산,63.0
5,20190701,광명,오송,4.0
5,20190702,광명,오송,12.0
5,20190703,광명,오송,5.0
